country,region,dev_level,year,gdp_growth,gdp_level,inflation,policy_rate,unemployment,current_account,debt_to_gdp,fx_change,biz_confidence,fin_stress_idx,shock_event_x,equities,bonds,real_estate,commodities,cash,shock_event_y
USA,NorthAmerica,developed,1985,2.683,102.68,1.668,4.127,4.129,-6.902,59.33,0.505,54.42,0.0,,18.93,7.05,-7.43,2.1,3.65,
USA,NorthAmerica,developed,1986,2.627,105.38,1.152,4.166,4.075,-2.868,63.54,1.339,52.68,0.0,,11.52,10.24,0.03,-27.53,3.78,
USA,NorthAmerica,developed,1987,2.317,107.82,0.794,4.095,3.817,-3.37,64.35,2.957,52.57,0.8,Black Monday,0.58,-4.12,3.02,21.01,3.1,Black Monday
USA,NorthAmerica,developed,1988,2.105,110.09,0.854,3.893,4.13,-2.175,67.33,4.777,52.99,0.0,,38.04,0.1,7.07,-15.35,3.32,
USA,NorthAmerica,developed,1989,1.897,112.18,0.532,3.668,4.616,-3.228,67.82,-1.059,55.75,0.0,,8.31,-2.6,29.12,-4.71,2.97,
USA,NorthAmerica,developed,1990,1.293,113.63,1.71,3.183,4.469,-2.767,70.58,1.98,52.06,0.6,Gulf War / S&L crisis,18.25,13.34,14.08,-15.15,2.77,Gulf War / S&L crisis
USA,NorthAmerica,developed,1991,0.502,114.2,2.132,3.189,5.064,-5.914,72.51,-0.83,48.09,0.5,Recession,-17.66,8.85,-8.96,-9.11,2.71,Recession
USA,NorthAmerica,developed,1992,0.837,115.16,3.402,3.042,5.066,-6.366,74.25,0.055,53.43,0.0,,13.47,0.94,18.32,14.75,2.78,
USA,NorthAmerica,developed,1993,1.679,117.09,3.856,3.29,3.929,-1.284,76.1,-2.958,49.96,0.0,,-4.99,9.53,0.51,30.39,3.4,
USA,NorthAmerica,developed,1994,1.333,118.65,3.983,3.7,4.679,-3.855,78.86,0.806,51.74,0.0,,14.49,6.31,-19.06,1.39,3.48,
USA,NorthAmerica,developed,1995,1.899,120.9,3.157,3.702,3.86,-5.392,82.14,-1.136,53.83,0.0,,20.9,-4.41,4.09,-34.01,3.27,
USA,NorthAmerica,developed,1996,2.337,123.73,3.382,4.199,3.782,-3.847,84.31,-3.639,50.33,0.0,,-12.55,6.72,15.57,-2.86,3.73,
USA,NorthAmerica,developed,1997,0.784,124.7,2.688,4.243,4.155,-3.756,89.87,-0.769,51.38,1.2,Asian Financial Crisis,-1.27,5.08,-8.49,12.27,3.11,Asian Financial Crisis
USA,NorthAmerica,developed,1998,0.053,124.77,2.276,3.593,4.804,-1.319,89.47,0.936,48.82,1.0,LTCM / Russia default,-20.75,4.22,-0.3,6.74,2.86,LTCM / Russia default
USA,NorthAmerica,developed,1999,0.308,125.15,1.164,3.218,4.581,-2.535,92.28,3.604,49.9,0.0,,29.07,6.16,6.89,5.61,3.04,
USA,NorthAmerica,developed,2000,0.242,125.46,1.575,3.045,5.558,-1.33,95.77,3.204,46.92,0.0,,13.36,7.13,11.16,-24.52,2.05,
USA,NorthAmerica,developed,2001,-1.077,124.1,0.878,2.4,4.85,-1.73,98.43,-2.455,43.0,0.9,Dot-com bust / 9-11,-0.52,6.36,6.97,2.03,2.21,Dot-com bust / 9-11
USA,NorthAmerica,developed,2002,-0.795,123.12,1.803,3.034,6.854,-2.171,99.65,-4.055,47.81,0.7,Corporate scandals,-13.85,5.84,-8.74,8.16,2.02,Corporate scandals
USA,NorthAmerica,developed,2003,-0.459,122.55,1.61,2.512,5.159,-0.868,102.85,-0.05,45.98,0.0,,9.64,-1.91,2.22,16.12,2.2,
USA,NorthAmerica,developed,2004,-0.724,121.67,1.399,2.225,6.246,-2.739,107.72,-0.668,45.0,0.0,,-14.55,2.54,-6.55,-22.9,1.93,
USA,NorthAmerica,developed,2005,-0.497,121.06,1.039,2.789,4.838,-1.323,108.97,2.301,50.16,0.0,,11.8,8.35,9.5,2.22,2.29,
USA,NorthAmerica,developed,2006,0.158,121.25,1.299,2.263,5.144,-3.91,109.21,-2.196,50.83,0.0,,-5.35,3.11,-3.86,-9.99,1.95,
USA,NorthAmerica,developed,2007,1.691,123.3,1.667,2.228,4.297,-0.388,111.87,-0.572,56.7,0.0,,10.17,18.97,-1.69,1.36,1.47,
USA,NorthAmerica,developed,2008,-2.349,120.41,4.112,2.566,5.562,-5.736,119.04,1.533,38.15,3.0,Global Financial Crisis,-16.23,4.01,1.6,-4.75,2.12,Global Financial Crisis
USA,NorthAmerica,developed,2009,-3.76,115.88,2.204,1.887,7.202,-3.789,123.08,-0.258,41.7,2.5,GFC trough,-17.14,1.86,-9.88,-4.78,1.63,GFC trough
USA,NorthAmerica,developed,2010,-2.141,113.4,2.778,1.098,6.046,-4.686,123.69,-1.84,44.72,0.0,,10.05,4.21,3.58,-22.94,1.1,
USA,NorthAmerica,developed,2011,-0.931,112.34,2.222,1.226,5.223,-3.655,128.49,1.16,50.95,0.6,Euro debt crisis,-4.39,9.17,16.18,-0.23,0.74,Euro debt crisis
USA,NorthAmerica,developed,2012,-0.166,112.16,1.721,1.177,5.204,-2.647,128.82,0.415,50.35,0.0,,8.13,6.81,5.87,-5.64,1.17,
USA,NorthAmerica,developed,2013,2.011,114.41,3.378,1.42,3.851,-5.927,129.59,0.368,57.64,0.0,,19.6,-0.39,-2.06,11.02,0.98,
USA,NorthAmerica,developed,2014,1.696,116.35,2.679,0.928,4.071,-5.125,130.38,-1.807,53.11,0.0,,16.01,3.18,-3.42,4.96,0.94,
USA,NorthAmerica,developed,2015,0.542,116.98,1.12,1.783,4.085,-5.194,136.63,6.224,46.77,0.4,China slowdown,15.13,6.05,-8.57,21.65,1.64,China slowdown
USA,NorthAmerica,developed,2016,0.811,117.93,1.669,2.494,4.101,-3.491,140.96,1.119,50.49,0.0,,-5.64,0.41,9.08,13.23,1.97,
USA,NorthAmerica,developed,2017,1.153,119.29,0.735,2.126,4.29,-2.536,142.41,1.473,55.34,0.0,,20.26,-3.77,0.14,-28.32,1.54,
USA,NorthAmerica,developed,2018,1.583,121.18,1.37,2.105,4.209,-4.443,145.46,0.145,59.45,0.0,,29.68,14.38,11.04,-6.51,1.72,
USA,NorthAmerica,developed,2019,2.756,124.52,1.904,1.97,3.066,-0.618,148.02,1.139,50.28,0.0,,20.12,-5.3,6.61,25.14,1.36,
USA,NorthAmerica,developed,2020,-1.751,122.34,2.037,1.407,5.64,-2.473,151.56,-0.927,40.14,2.8,COVID-19,-16.47,7.7,0.82,-8.18,1.22,COVID-19
USA,NorthAmerica,developed,2021,2.903,125.89,5.057,1.375,3.43,-2.647,153.92,-1.511,50.14,0.2,COVID recovery / stimulus,22.19,8.54,11.09,4.51,1.63,COVID recovery / stimulus
USA,NorthAmerica,developed,2022,1.499,127.78,9.427,2.639,4.682,-3.657,156.67,-4.184,49.99,1.0,Inflation / rate hike cycle,-0.3,-11.53,7.47,22.72,2.35,Inflation / rate hike cycle
USA,NorthAmerica,developed,2023,2.029,130.37,7.458,4.616,4.574,-2.122,163.76,-0.609,55.74,0.4,Rates plateau,6.06,-10.57,3.34,24.51,3.55,Rates plateau
USA,NorthAmerica,developed,2024,1.969,132.94,6.52,5.109,4.51,-5.357,169.24,-1.587,57.45,0.0,,5.05,-4.34,-1.85,9.45,4.48,
Canada,NorthAmerica,developed,1985,2.751,102.75,3.757,4.854,2.839,-0.134,59.7,-1.474,60.51,0.0,,15.61,-4.59,-7.75,8.47,3.97,
Canada,NorthAmerica,developed,1986,3.02,105.85,2.906,4.541,3.506,-2.433,60.27,0.442,60.03,0.0,,33.6,10.52,22.37,-9.92,4.03,
Canada,NorthAmerica,developed,1987,2.906,108.93,1.036,4.372,3.583,0.828,65.5,-3.747,52.94,0.8,Black Monday,18.55,7.7,1.78,22.0,3.72,Black Monday
Canada,NorthAmerica,developed,1988,3.109,112.32,0.023,4.485,3.63,1.693,66.31,2.311,59.96,0.0,,13.38,-3.2,11.85,-1.15,3.95,
Canada,NorthAmerica,developed,1989,3.046,115.74,0.666,4.239,3.045,-0.295,67.93,1.257,59.62,0.0,,14.87,4.67,6.73,14.86,3.54,
Canada,NorthAmerica,developed,1990,1.505,117.48,1.103,4.497,3.876,-1.645,70.86,2.048,52.11,0.6,Gulf War / S&L crisis,-12.28,7.68,-3.71,-17.25,3.52,Gulf War / S&L crisis
Canada,NorthAmerica,developed,1991,1.601,119.36,2.154,4.704,4.477,4.655,73.02,-3.963,57.29,0.5,Recession,9.07,2.95,-14.32,-2.54,4.35,Recession
Canada,NorthAmerica,developed,1992,1.501,121.15,2.269,5.085,3.448,-2.503,72.48,-1.579,54.58,0.0,,1.35,2.25,11.43,15.43,4.63,
Canada,NorthAmerica,developed,1993,2.015,123.59,2.497,4.41,2.837,0.109,73.89,0.86,56.49,0.0,,-24.15,11.06,10.29,40.65,3.51,
Canada,NorthAmerica,developed,1994,2.169,126.27,3.065,4.633,4.18,-1.409,75.91,0.164,57.18,0.0,,-11.97,1.62,2.78,13.86,4.26,
Canada,NorthAmerica,developed,1995,1.966,128.76,3.329,4.668,3.958,1.659,74.4,-2.902,49.83,0.0,,7.36,0.23,8.79,0.29,3.87,
Canada,NorthAmerica,developed,1996,0.649,129.59,2.581,4.837,4.533,0.396,79.46,2.571,51.2,0.0,,17.35,9.68,10.97,0.92,3.47,
Canada,NorthAmerica,developed,1997,1.394,131.4,2.766,4.443,4.006,-2.961,80.44,-0.856,53.04,1.2,Asian Financial Crisis,0.83,-0.5,0.17,-6.95,3.77,Asian Financial Crisis
Canada,NorthAmerica,developed,1998,2.293,134.41,1.441,4.37,3.333,0.949,82.65,-3.404,55.77,1.0,LTCM / Russia default,-6.62,-2.37,12.98,-11.77,3.71,LTCM / Russia default
Canada,NorthAmerica,developed,1999,1.932,137.01,1.186,3.638,3.707,0.856,84.59,0.992,55.29,0.0,,21.49,8.6,12.98,7.6,3.31,
Canada,NorthAmerica,developed,2000,2.816,140.87,1.134,2.908,4.126,-0.663,88.72,1.116,55.73,0.0,,29.83,5.51,-5.29,-4.69,2.68,
Canada,NorthAmerica,developed,2001,1.996,143.68,2.844,4.033,4.036,0.32,93.43,-1.855,53.54,0.9,Dot-com bust / 9-11,-1.58,10.63,3.17,4.73,3.77,Dot-com bust / 9-11
Canada,NorthAmerica,developed,2002,1.577,145.94,2.945,3.815,3.417,-4.146,93.86,-1.111,51.15,0.7,Corporate scandals,3.76,3.51,11.18,-18.58,3.16,Corporate scandals
Canada,NorthAmerica,developed,2003,2.92,150.21,3.701,3.85,3.714,-0.814,95.5,-0.05,58.21,0.0,,22.22,0.55,19.42,-19.09,2.77,
Canada,NorthAmerica,developed,2004,2.561,154.05,4.271,3.909,3.722,5.195,98.3,2.275,55.84,0.0,,20.45,4.16,5.48,10.76,3.55,
Canada,NorthAmerica,developed,2005,2.845,158.43,3.832,4.27,3.188,0.861,99.0,0.872,59.44,0.0,,1.72,-3.41,8.25,18.16,3.28,
